product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Kuromi,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Carimbo,,,,
,,Pudim,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Carimbo,,,,
,,Hello Kitty.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,2Carimbo,,,,
,,Adesivo My Melody.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,1Kit,,,,
,,kit Adesivo kuromi.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,kit Adesivo Cinnamorol.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,1,,,,
,,Carimbos kuromi.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,4,,,,
,,Carimbo Rolo.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,3,,,,
,,Porta Moeda Hello Kitty.,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,2,,,,
,,Pincel Hello Kitty.,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,2,,,,
,,Porta Acessorio Hello Kitty.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,1,,,,
,,Apontadores Peão.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,2,,,,
,,Apontador Rosa.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,1,,,,
,,Apontador Sanrio Casinha.,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,4,,,,
,,FingerBoard Hello Kitty.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,1,,,,
,,Cadernos Espi Velcro Sanrio.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,3,,,,
,,Lapis de Cor 6 Cores Neon brw.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,4,,,,
,,Marcador de Texto Espaço c Glitter 10.00 cada,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Kit Saleiro Mickey.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,1,,,,
,,Kit c 12 Lapiseiras Shiny Color,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,1,,,,
,,Canetinha 12 Cores Neo Pen Gigante Compactor.,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,2,,,,
,,Cader Cardeal Fashion 10M 140F,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,5,,,,
,,Cader DesJandainha 80F.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,10,,,,
,,Cadernp Cardeal Pastel 12M 168F,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,3,,,,
,,Caderno Brochurão Credeal Turma da Lala 60F.,,,,,,,,,,,,,,9.30,,,,,,,,,,,,,,10,,,,
,,Caneta Esfer.Wave 1.0.,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,24,,,,
,,Grafite Tris 0.7mm.,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,22,,,,
,,Caneta Esfer. Wave 1.0 Mini,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,23,,,,
,,Caderno Inteligente Divertidamente,,,,,,,,,,,,,,84,,,,,,,,,,,,,,9,,,,
,,Caderno Inteligente Branco.,,,,,,,,,,,,,,100,,,,,,,,,,,,,,1,,,,
,,Caderno Brochurão Capa Dura 80 F,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,10,,,,
,,Caneta 6 Cores BTS.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,4,,,,
,,Caneta 4 Cores BTS.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,4,,,,
,,Caneta 9 Cores BTS.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Corretivo BTS.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,10,,,,
,,Canetas Esfer BTS.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,10,,,,
,,Caneta Super Herói.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,6,,,,
,,Caneta Esfer. Apagável Flut,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,4,,,,
,,Marcador de Texto Stitch,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,9,,,,
,,de Texto Hello Kitty.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,11Marcador,,,,
,,Marc. Texto Hello Kitty Bola.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,9,,,,
,,Marcador de Texto Pata.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Marcador de Texto Ifood.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Apontador Ifood,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Canetas Ifood em Gel Preta.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Marcador de Texto Dinossa.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,5,,,,
,,Marcador de Texto Hello Kitty Sanrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Escova Hello Kitty.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Tapete My Melody.,,,,,,,,,,,,,,230.00,,,,,,,,,,,,,,2,,,,
,,Sandalias My Melody.,,,,,,,,,,,,,,132.00,,,,,,,,,,,,,,2,,,,
,,Tapete Cinnamorol.,,,,,,,,,,,,,,230.00,,,,,,,,,,,,,,1,,,,
,,Bolsa Kuromi.,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,1,,,,
,,Bolsa Hello Kitty.,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,1,,,,
,,Fita Metrica Hello Kitty.,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,5,,,,
,,Estojo Hello Kitty Branco.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,1,,,,
,,Estojo Hello Kitty Corino Ro.,,,,,,,,,,,,,,90.00,,,,,,,,,,,,,,1,,,,
,,Bolsa My Melody.,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,2,,,,
,,Caneta My Melody.,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,3,,,,
,,Hello Kitty.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,1Gancho,,,,
,,Carteira Hello Kitty.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Enfeite Sanrio Carro.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,4,,,,
,,Projetor Hello Kitty.,,,,,,,,,,,,,,250.00,,,,,,,,,,,,,,0,,,,
,,Porta Cartao Hello Kitty.,,,,,,,,,,,,,,45.50,,,,,,,,,,,,,,3,,,,
,,Bolsa Termica My Melody.,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,1,,,,
,,Maleta Portatil.,,,,,,,,,,,,,,260.00,,,,,,,,,,,,,,1,,,,
,,Relogio Preto Hello Kitty.,,,,,,,,,,,,,,125.30,,,,,,,,,,,,,,1,,,,
,,Relogio Branco Hello Kitty.,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,0,,,,
,,Mini Borracha Ifood Leo e Leo.,,,,,,,,,,,,,,19.00,,,,,,,,,,,,,,4,,,,
,,Papel Jandaia.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,4,,,,
,,Lapis de Cor Hexa.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,11,,,,
,,Resma A4.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,2,,,,
,,Emborrachado.,,,,,,,,,,,,,,2025-04-08 00:00:00,,,,,,,,,,,,,,10,,,,
,,Cartolina.,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,100,,,,
,,Caneta Vermelha Compactor,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,50,,,,
,,Caneta Preta Compactor.,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,50,,,,
,,Caneta Azul Compactor.,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,50,,,,
,,Caneta Esfer Compactor Jet Lux 4 cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Estojo Box Divertidamente.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,8,,,,
,,Estojo Box Carros.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Borracha Hello Kitty Big.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,5,,,,
,,Canetas Apagavel Clicker Hello Kitty,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Caneta Gel My Melody.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Mini Bloco Prancheta.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,6,,,,
,,Cola Bastão Lotso.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,9,,,,
,,Réguas  Capivara de 15 cm,,,,,,,,,,,,,,19.50,,,,,,,,,,,,,,12,,,,
,,Canetas c 07 Cores H. Aranha,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Prancheta Mini.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,5,,,,
,,Calculadora Hello Kitty Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Calculadora Hello Kitty Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Hello Kitty Apple Collection,,,,,,,,,,,,,,38.00,,,,,,,,,,,,,,3,,,,
,,Garrafa Hello Kitty.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,2,,,,
,,Chaveiro My Melody Sorvete.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,1,,,,
,,Chaveiro My Melody Dream.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,1,,,,
,,kit Mochila My Melody.,,,,,,,,,,,,,,330.00,,,,,,,,,,,,,,1,,,,
,,Chaveiro Kuromi.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,1,,,,
,,Chaveiro Mini Hello Kitty c Led,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,10,,,,
,,Chaveiro Bloco.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,8,,,,
,,Laços Mickey.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,14,,,,
,,Pares Laços Hello Kitty.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,3,,,,
,,Flatware Hello Kitty.,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,2,,,,
,,Flatware Sanrio.,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,3,,,,
,,Pelúcia Hello Kitty.,,,,,,,,,,,,,,165.00,,,,,,,,,,,,,,1,,,,
,,Pelúcia kuromi.,,,,,,,,,,,,,,165.00,,,,,,,,,,,,,,2,,,,
,,Limpeza Facial Kuromi.,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,5,,,,
,,Cordoes Hello Kitty.,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,3,,,,
,,"Lousa Magica 8.5""",,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,2,,,,
,,"Lousa Magica 10""",,,,,,,,,,,,,,36.00,,,,,,,,,,,,,,2,,,,
,,"Lousa Magica 12""",,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,2,,,,
,,Depilador Nasal.,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,2,,,,
,,Removedor Cravo.,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,2,,,,
,,Aspirador Carro.,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,3,,,,
,,Forma Silicone.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,6,,,,
,,Suporte Carro.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,4,,,,
,,Porta Joia.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,2,,,,
,,Caixa Karaoke.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,2,,,,
,,Garrafa Termica c Led.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,4,,,,
,,Maquina Costura Portatil.,,,,,,,,,,,,,,245.00,,,,,,,,,,,,,,2,,,,
,,Power Bank.,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,2,,,,
,,Kit Pincel.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,2,,,,
,,Leque My Melody.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Leque kuromi.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Leque Cinnamorol.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Leque Pum pum,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Cadeado Sanrio.,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,11,,,,
,,Cadeado Gato.,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,4,,,,
,,Caneta Gel Hello Kitty Azul,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Caneta Gel My Melody.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Caneta Gel Kuromi.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,12,,,,
,,Presilha Infantil.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,2,,,,
,,Marcador Unicornio.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Apontador Dino.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,4,,,,
,,Apontador Dino Depos.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,2,,,,
,,Perfume Carro Hello Kitty,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Kit c 12 Canetinhad Colo Urso,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Caneta 10 Cores Urso.    ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Caneta Hidrog 6 cores Jumbo.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Apagável,,,,,,,,,,,,,,13.80,,,,,,,,,,,,,,11,,,,
,,Estojo Carinha Stitch,,,,,,,,,,,,,,135,,,,,,,,,,,,,,4,,,,
,,Estojo Fluffly Pooh.,,,,,,,,,,,,,,139,,,,,,,,,,,,,,4,,,,
,,Estojo Fluffly Stitch,,,,,,,,,,,,,,139,,,,,,,,,,,,,,4,,,,
,,Estojo Magic.,,,,,,,,,,,,,,110,,,,,,,,,,,,,,4,,,,
,,Estojo Enjoy.,,,,,,,,,,,,,,39,,,,,,,,,,,,,,4,,,,
,,Estojo c Elastico Pooh,,,,,,,,,,,,,,45,,,,,,,,,,,,,,4,,,,
,,Agenda Mini Pooh.,,,,,,,,,,,,,,75,,,,,,,,,,,,,,4,,,,
,,Estojo c Elastico Stitch,,,,,,,,,,,,,,45,,,,,,,,,,,,,,4,,,,
,,Pasta c Aba elástica Mickey.,,,,,,,,,,,,,,23,,,,,,,,,,,,,,10,,,,
,,Fichario Colegial Stitch 192f Coleção Nova.,,,,,,,,,,,,,,216,,,,,,,,,,,,,,3,,,,
,,Fichario Colegial Argolado Pooh 144f,,,,,,,,,,,,,,177.00,,,,,,,,,,,,,,4,,,,
,,Fichario Univers. Pooh 192f (Nova coleção) DAC.,,,,,,,,,,,,,,218.00,,,,,,,,,,,,,,4,,,,
,,Fichario Univers. Snoopy  DAC,,,,,,,,,,,,,,218.00,,,,,,,,,,,,,,4,,,,
,,Fichario Univers. Bob Esponja DAC,,,,,,,,,,,,,,218.00,,,,,,,,,,,,,,4,,,,
,,Fichario Univers. Argolado Enjoy 48f DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Fichario Univers. Argolado Snoopy 48f DAC,,,,,,,,,,,,,,147.00,,,,,,,,,,,,,,4,,,,
,,Mini Fichario Argolado c Fichas Snoopy 80f DAC,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Mini Fichario Argolado c Fichas Bob Esponja 80f DAC.,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Smart Univer Troca Folhas q,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caderno,,,,
,,Caderno Smart Univ Vision Azul Serenity DAC,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Univ Vision Rosa Bebê DAC,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,4,,,,
,,Smart Univ Bob Esponja,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,4,,,,
,,Smart Univ Mickey,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,8,,,,
,,Smart Univ Divertidamente 80f ( Troca Folha),,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,4,,,,
,,Smart Univ Hello.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,4,,,,
,,Smart Colegial,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caderno,,,,
,,Caderno Smart Colegial Hello 80f DAC,,,,,,,,,,,,,,82.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Pooh,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Mickey,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Minnie,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Divertidamente,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,4,,,,
,,Caderno,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini,,,,
,,Mini Caderno Smart Pooh 80f Reposicionaveis e divisórias DAC.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,4,,,,
,,Mini Caderno Smart Snoopy 80f Reposicionaveis e divisórias  DAC.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,4,,,,
,,Fichario,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini,,,,
,,Mini Fichario Smart Pooh.,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,4,,,,
,,Mini Fichario Smart Mickey,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,4,,,,
,,Guarda-chuva Stitch.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,10,,,,
,,Estojo Box Hello Kitty com Relevo,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,10,,,,
,,Estojo Box Stitch c Relevo 50 pens,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,5,,,,
,,Estojo Box Capivara c Relevo,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,5,,,,
,,Estojo Box Mário.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Estojo Box H. Aranha,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Estojo Box  H. Ferro.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Apontador H. Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Estojo Box C. América,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Apontador C. América,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Fone Head Unicornio,,,,,,,,,,,,,,117.00,,,,,,,,,,,,,,3,,,,
,,Luminárias Clip,,,,,,,,,,,,,,38.00,,,,,,,,,,,,,,5,,,,
,,Marca Texto Sorvete,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,6,,,,
,,Borracha Hello Kitty Lápis,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,11,,,,
,,Lapis Infinito Metal Capivara,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,12,,,,
,,Caderno Capa Couro Harry Potter,,,,,,,,,,,,,,100,,,,,,,,,,,,,,6,,,,
,,Mini Caderno C Dura Harry Potter,,,,,,,,,,,,,,98,,,,,,,,,,,,,,4,,,,
,,Caderno Luxo Capivara.,,,,,,,,,,,,,,100,,,,,,,,,,,,,,4,,,,
,,Caderno Pelúcia Hello Kitty,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,5,,,,
,,Caderno c Div Hello Kitty,,,,,,,,,,,,,,100,,,,,,,,,,,,,,10,,,,
,,Caderno c Div Liga Justiça,,,,,,,,,,,,,,100,,,,,,,,,,,,,,4,,,,
,,Corretivo Stitch.,,,,,,,,,,,,,,23,,,,,,,,,,,,,,12,,,,
,,Funkos.,,,,,,,,,,,,,,130,,,,,,,,,,,,,,12,,,,
,,Corretivo Peq Hello Kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Luminária Clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,Conjunto de 8 Pincéis c Carimbo,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,2,,,,
,,Fichario Sianrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Fichario Boneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Aquarela Cinnamorol,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Aquarela Kuromi,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Aquarela  My Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Compasso Capivara.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Borracha Capivara,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Borrachas Mickey.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,3,,,,
,,Borracha  Minnie.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,2,,,,
,,potes Bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Marcadores Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Caneta Pelucia Stitch,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,12,,,,
,,Caneta  Click Cabeça Stitch.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Grampeador Stitch.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,4,,,,
,,Sacola Stitch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Grampeador Hello Kitty.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,4,,,,
,,Grampeador Kuromi.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,2,,,,
,,Caneta luxo Batom.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,28,,,,
,,Marca Texto Avenger.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Mario.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,1,,,,
,,Estojo Mario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Marca Texto My Melody.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Kuromi.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Rolo Adesivo Capivara.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,3,,,,
,,Rolo Adesivo.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco Cinnamorol.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Mini Bloco My Melody.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco Pom.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco kuromi.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Borracha Monstro.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,2,,,,
,,Foguete.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,01Borracha,,,,
,,Borracha Urso.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,1,,,,
,,Conj Pincéis c Carimbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Conj Marca Texto Neon.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Caneta Apagavel Avenger,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Avenger.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Avenger.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Pastel.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Sanrio.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Kuromi.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Hello Kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Borracha Simples Lotso,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,Borracha Bastão Boneca.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Apontador Boneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Borracha Bastão Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Apontador  Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Apontador Bob esponja,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
,,Apontador Sanrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,Borracha Bastao Astronauta,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Borracha Bastão Lotso,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Borracha Bastão Dino.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Cola Bastão Stitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Chaveiro Harry Potter.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Canetas 10 Cores Harry Potter,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,6,,,,
,,Clips p Papeis 2.0.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,6,,,,
,,Compasso c Grafite Kas.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,2,,,,
,,Compasso c Lapis Kas.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,1,,,,
,,Gizao de Cera Big Kas.,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,2,,,,
,,Giz de Cera em Gel Metalico Kas.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Giz de Cera em Gel Cor da Pele Kas,,,,,,,,,,,,,,40.,,,,,,,,,,,,,,2,,,,
,,Furador Kas.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,1,,,,
,,Fita Corretiva Dino.,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Fruit-tella.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Conj Caneta Frut-tella.,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,2,,,,
,,Borracha ice-cream Kas.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,5,,,,
,,Grafite  Unicornio 0.7 mm.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Fita Dupla Face 12 mm x 2m.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,4,,,,
,,Pincel Marcador Permanente.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
