product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Chaveiros Stitch.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,10,,,,
,,Garrafa Stitch.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,5,,,,
,,Pastas Elastico.,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,8,,,,
,,Caneta Colorir Dual Touch 12 Cores,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,17,,,,
,,Caneta Colorir Dual Touch 24 Cores.,,,,,,,,,,,,,,90.00,,,,,,,,,,,,,,19,,,,
,,Caneta Colorir Dual Touch 48 Cores.,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,2,,,,
,,Caneta Colorir Dual Touch 36 Cores.,,,,,,,,,,,,,,130.00,,,,,,,,,,,,,,8,,,,
,,Caneta Colorir Dual Touch 60 Cores,,,,,,,,,,,,,,210,,,,,,,,,,,,,,1,,,,
,,Caneta Colorir Dual Touch 100 Cores,,,,,,,,,,,,,,280,,,,,,,,,,,,,,1,,,,
,,Caneta Colorir Dual Touch 120 Cores,,,,,,,,,,,,,,320,,,,,,,,,,,,,,2,,,,
,,Caneta Dual Brush 48 Cores,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,3,,,,
,,Caneta Dual Brush 80 Cores,,,,,,,,,,,,,,270,,,,,,,,,,,,,,3,,,,
,,Canetas Sorvete.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,kit Gramp. Hello Kitty Rosa,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,9,,,,
,,kit Gramp. Hello Kitty Verm,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,2,,,,
,,kit Gramp. Lotso.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,4,,,,
,,Borrachas Câmera Kuromi,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,2,,,,
,,Borracha Camera Lotso.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,2,,,,
,,Apontador Simples Lotso.,,,,,,,,,,,,,,17.50,,,,,,,,,,,,,,9,,,,
,,Apontador c Deposito lotso,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,10,,,,
,,Marca Texto Lotso.,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,24,,,,
,,Caneta 10 Cores Lotso.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,12,,,,
,,Caneta Gel Apagavel Preta Lotso.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,11,,,,
,,Caneta 12 Cores Barbie.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Diario Magico Harry Potter.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,5,,,,
,,Caneta Pena Harry Potter.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,12,,,,
,,Planner Herry Potter.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Caneta Capivara Gel 0.5.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,24,,,,
,,Caneta CapivaraEsferog.Preta c Marcador,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,3,,,,
,,Estilete Capivara.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,9,,,,
,,Clips Capivara.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,5,,,,
,,Chaveiro Capivara Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Chaveiro Capivara Abacate,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Chaveiro Capivara Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Apontador Capivara.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,8,,,,
,,Marca Texto Capivara.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,18,,,,
,,Marca Texto Mario.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,18,,,,
,,Marca Texto Bob Esponja.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,18,,,,
,,Marca Texto Extintor.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,18,,,,
,,Marca Texto Sanrio.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,18,,,,
,,Réguas Capivara.,,,,,,,,,,,,,,19.50,,,,,,,,,,,,,,12,,,,
,,Apontador Pata.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,6,,,,
,,Apontador Borracha Pata Rosa,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Apontador Borracha Pata Branco,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Canetas 3 Cores Divert.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Lapis de Cor 12 Cores Sonic.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,5,,,,
,,Caneta Gel Capivara 0.5  Metaliza,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,6,,,,
,,Caneta Capivara Gel 0.5 Azul c Espelho,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,9,,,,
,,Caneta Gel Capivara c Metal.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,5,,,,
,,Estojos Capivara Simples.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,6,,,,
,,Estojo Tecido Capivara duplo,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,3,,,,
,,Estojo Capivara Grande.,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,6,,,,
,,Estojo Capivara Rosa.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Borracha Capivara.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Caderno Capivara.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,4,,,,
,,Lapis Infinito.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,8,,,,
,,Grafite Troca Ponta Pata.,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,12,,,,
,,Diario Divertidamente.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,3,,,,
,,Calculadora 8 Digitos Pastel.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,2,,,,
,,Calculadora 8 Dig Hello Kitty.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Calculadora 8 Dig Hello Acri.,,,,,,,,,,,,,,63.00,,,,,,,,,,,,,,3,,,,
,,Calculadora 8 Dig Stitch Acri,,,,,,,,,,,,,,63.00,,,,,,,,,,,,,,2,,,,
,,Borracha Sandalia Stitch.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Cola Bastão Pata.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Lapis de 12 Cores Leo e Leo.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,5,,,,
,,Lapis de 06 Cores Leo e Leo.,,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,6,,,,
,,Massa Modelar Leo e Leo.,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,3,,,,
,,Giz de Cera 6 Cores Big Leo e Leo,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,3,,,,
,,Carga 0.7 mm Leo e Leo.,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,24,,,,
,,Giz de Cera Fino.,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,4,,,,
,,Apontador C Deposito.,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,24,,,,
,,Apontador Simples.,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,24,,,,
,,Planner H. Potter.,,,,,,,,,,,,,,34.00,,,,,,,,,,,,,,3,,,,
,,Pincel Compactor 6 Cores Pastel,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Pincel Neo Pen c 12 Cores Fino Compactor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lapiseira 2.00mm.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,2,,,,
,,Corretivo.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,4,,,,
,,Folhas Cartolina.,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,100,,,,
,,Bloco Adesivo Hello Kitty.,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,48,,,,
,,Bloco Adesivo Hello Kitty c 4 modelos,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Estojo Tubo Sonic.,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,5,,,,
,,Estojo Tubo Hello Kitty,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,3,,,,
,,Estojo Retrô My Melody.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Estojo Retrô Kuromi.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Estojo Retrô Cinnamorol.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Mini Mochila Cinnamorol.,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,4,,,,
,,Borracha Mini Hello Kitty.,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,20,,,,
,,Pote Sonic.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,3,,,,
,,Lapis HB Leo e Leo.,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,72,,,,
,,Borracha Pastel Leo e Leo.,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,24,,,,
,,Lapiseira Recarregavel.,,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,24,,,,
,,Cola Bastão Leo e Leo.,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,12,,,,
,,Potes Organiz. Sonic.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,3,,,,
,,Caneta Wave Colorida 1.0.,,,,,,,,,,,,,,8.40,,,,,,,,,,,,,,24,,,,
,,Apont. Casa Hello Kitty.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Lapis Fini Borracha.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,30,,,,
,,Marca Texto Fini.,,,,,,,,,,,,,,34.50,,,,,,,,,,,,,,1,,,,
,,Marca Texto Fini c Chaveiro,,,,,,,,,,,,,,16.00,,,,,,,,,,,,,,8,,,,
,,Kit Borracha Fini,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Papel Almaço,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,200F,,,,
,,Potes Hello Kitty.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,5,,,,
,,Chaveiro Metal.,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,5,,,,
,,Lanterna Espaço.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,2,,,,
,,Kit Costura.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,6,,,,
,,Lip Balm.,,,,,,,,,,,,,,48.00,,,,,,,,,,,,,,2,,,,
,,Apontadores.,,,,,,,,,,,,,,18.75,,,,,,,,,,,,,,2,,,,
,,Apoio Telefone Mickey,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,4,,,,
,,Suporte carro Mickey.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,3,,,,
,,Grafite Troca Ponta Bolinha.,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,11,,,,
,,kit Esponja.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Cadernos Note Hello Kitty.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,8,,,,
,,Cola Bastão My Melody.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Cola Bastão Hello Kitty.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Cola Bastão kuromi.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Cola Bastão Food.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,7,,,,
,,Calculadora 8 Digitos Acrilica.,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,3,,,,
,,Caderno Intelig Divertidamente.,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,9,,,,
,,Caneta Luxo Kuromi.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Caneta Luxo Clicker Sanrio.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Caneta Esf Clicker Apaga Sanrio.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,5,,,,
,,Caneta Esfer Clicker Apaga Des Sanrio,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,6,,,,
,,Caneta Esfer Clicker My Melody.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,3,,,,
,,Caneta Esfer Clicker Metal Hello Kitty ,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
,,Caneta 3 Cores  Divertidamente,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,8,,,,
,,Caneta com Led Divertidamente,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,9,,,,
,,Caneta Gel Divertidamente.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Caneta Gel Divert. Personag.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,35,,,,
,,Caneta Sorvete Divertidamente,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,23,,,,
,,Caneta Divertidamente 8 Cores,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,13,,,,
,,Chaveiro Divertidamente.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,12,,,,
,, Caneta Bola Colorida.,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,12,,,,
,,Mini Bloco Capivara.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,8,,,,
,,Mini Bloco Sanrio.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,8,,,,
,, Grampeador Espaço.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Rolo Pintura.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,8,,,,
,, Caderno Pintura Kuro,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,4,,,,
,,Whastape.,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,16,,,,
,,Marca Texto Glitter.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,2,,,,
,,Canetas Cherry Hello Kitty,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,10,,,,
,,Caneta H. Aranha 6 Cores.,,,,,,,,,,,,,,17.50,,,,,,,,,,,,,,6,,,,
,,Apontador H. Aranha,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
